model,model_id,params_b,precision,vram_gb,vision_encoder,family,overall_accuracy_9task,kappa,latency_s,throughput_fps,n_questions,anomaly_discrimination_plainacc,defect_classification_plainacc,defect_localization_plainacc,defect_description_plainacc,defect_analysis_plainacc,object_classification_plainacc,object_analysis_plainacc,average_plainacc,anomaly_discrimination,defect_classification,defect_localization,defect_description,defect_analysis,object_classification,object_analysis,average,anomaly_n_abnormal,anomaly_n_normal
Qwen3-VL-2B,Qwen3-VL-2B-Instruct,2.2,FP16,4.82,Dynamic-resolution patch ViT,this_work,71.2,0.615,0.16,6.2,2500,61.3,40.8,47.5,71.1,82.0,94.89999999999999,81.10000000000001,68.38571428571429,61.408450704225345,40.8,47.5,71.1,82.0,94.89999999999999,81.10000000000001,68.40120724346077,140,142
Qwen2.5-VL-3B,Qwen/Qwen2.5-VL-3B-Instruct,3.1,FP16,5.86,Windowed dynamic ViT,this_work,67.67999999999999,0.574,0.223,4.5,2500,41.730000000000004,51.24999999999999,51.25999999999999,62.45,77.42,90.61,78.16333333333333,64.69761904761904,47.43143459915612,51.24999999999999,51.25999999999999,62.45,77.42,90.61,78.16333333333333,65.51210970464136,158,120
Gemma-4-E4B,google/gemma-4-E4B-it,4.4,4-bit NF4,3.32,Any-to-any pooled ViT,this_work,65.60000000000001,0.5403,0.847,1.2,2500,44.96,53.410000000000004,31.41,65.34,75.99000000000001,80.87,79.48333333333335,61.637619047619054,51.58227848101266,53.410000000000004,31.41,65.34,75.99000000000001,80.87,79.48333333333335,62.58365883062087,158,120
Gemma-4-E2B,google/gemma-4-E2B-it,2.3,FP16,4.65,SigLIP token pooler,this_work,60.919999999999995,0.4757,0.337,3.0,2500,50.72,46.949999999999996,26.35,63.9,75.63,73.29,70.46333333333334,58.18619047619047,55.042194092827,46.949999999999996,26.35,63.9,75.63,73.29,70.46333333333334,58.80364677516577,158,120
